star,period,n_B,mean_B,n_V,mean_V,n_R,mean_R,n_I,mean_I,n_J,mean_J,n_H,mean_H,n_K,mean_K
TZMon,7.42817,25,11.98205,53,10.82704,28,10.14426,35,9.48942,19,8.45674,19,7.99348,19,7.83481
UAql,7.02411,243,7.52899,388,6.47898,275,5.84682,127,5.27986,40,4.40413,40,3.99599,40,3.87043
USgr,6.74523,379,7.86308,675,6.73559,347,6.07949,307,5.44547,73,4.51852,73,4.08558,73,3.95568
UVUL,7.99068,265,8.50344,400,7.14839,293,6.35706,81,5.59521,45,4.53417,45,4.08140,46,3.93722
UZSct,14.74820,64,13.21986,126,11.30125,70,10.15938,28,9.16535,21,7.40984,20,6.74543,19,6.50374
V1162Aql,5.37606,214,8.72192,235,7.81823,168,7.31614,60,6.84079,21,6.15243,20,5.80327,20,5.70247
V1344Aql,7.47803,181,9.17355,217,7.79328,87,7.01375,66,6.29884,20,5.18344,19,4.72359,19,4.57387
V1364Cyg,12.97640,93,15.31145,94,13.29010,58,12.08691,0,nan,19,9.08604,19,8.32969,17,8.08705
V1467Cyg,48.60000,286,-8.42883,353,12.96798,288,12.17125,32,10.51001,26,8.16381,26,7.29618,26,6.97555
V335Aur,3.41325,80,13.72597,97,12.49771,95,11.75254,6,11.04108,22,9.87058,22,9.38728,22,9.23680
V336Aql,7.30355,51,11.35950,90,9.93664,24,9.07756,17,8.31964,17,7.15738,17,6.68209,16,6.52581
V386Cyg,5.25761,89,11.21167,135,9.64996,77,8.68378,31,7.81165,18,6.36194,18,5.79512,18,5.55681
V396Cyg,33.24700,166,13.77315,213,11.45952,120,9.97394,36,8.55059,27,6.04593,27,5.04611,27,4.62877
V402Cyg,4.36484,78,10.93648,127,9.88799,85,9.25041,40,8.66099,23,7.81990,23,7.40634,22,7.29119
V438Cyg,11.21107,100,12.95226,117,10.97818,51,9.79948,11,8.64865,27,6.77513,27,6.06669,27,5.76526
V459Cyg,7.25125,44,12.11780,55,10.63490,31,9.73018,42,8.88724,19,7.60865,19,7.06226,19,6.87607
V465Mon,2.71340,62,11.13795,75,10.37636,43,9.92634,36,9.47488,22,8.77152,22,8.43045,21,8.35281
V495Cyg,6.71836,73,12.26459,117,10.62744,108,9.62312,9,8.69554,23,7.11003,23,6.52838,23,6.28701
V495Mon,4.09658,39,13.69761,61,12.43328,34,11.69273,30,10.97295,24,9.83695,24,9.34088,24,9.22570
V508Mon,4.13361,53,11.40847,69,10.52042,34,9.97854,40,9.46317,18,8.64452,18,8.26795,18,8.17358
V514Cyg,5.09891,45,13.14996,69,11.46067,58,10.37366,11,9.35226,24,7.63914,24,7.00048,24,6.73618
V538Cyg,6.11896,52,11.80496,90,10.46946,39,9.69726,11,8.97921,22,7.79701,23,7.29590,23,7.13916
V600Aql,7.23889,103,11.57424,173,10.05798,116,9.13660,56,8.27388,21,6.96614,22,6.44054,21,6.24228
V609Cyg,31.08800,163,13.15157,197,10.98103,117,9.84333,29,8.68481,20,6.80048,20,6.10772,20,5.82164
V916Aql,13.44155,145,12.66869,173,10.83140,94,9.83630,29,8.91011,24,7.36995,25,6.75573,25,6.55736
VLac,4.98302,242,9.92552,382,8.95038,287,8.40573,72,7.87335,21,7.05896,19,6.65964,20,6.57456
VVCas,6.20706,57,11.97098,105,10.78375,15,10.10997,19,9.44814,21,8.32963,21,7.87060,20,7.73344
VXCyg,20.13339,73,11.88644,128,10.11313,51,9.11539,17,8.19092,24,6.70131,24,6.07592,24,5.88378
VXPer,10.88637,115,10.54330,180,9.39653,116,8.60098,37,7.94022,21,6.88478,21,6.42623,21,6.27499
VYCyg,7.85699,102,10.89104,173,9.61329,95,8.86157,54,8.12974,26,7.01209,26,6.53936,26,6.37671
VZCyg,4.86445,91,9.88406,154,8.98231,93,8.45090,68,7.93534,65,7.14442,65,6.85519,65,9.42163
WGem,7.91349,85,7.94871,136,6.98133,64,6.40960,72,5.93413,40,5.20114,17,4.75783,42,4.69271
WWMon,4.66208,45,13.64610,106,12.52870,86,11.82446,4,11.14800,17,9.96394,17,9.47496,17,9.37279
WZSgr,21.84958,126,9.58774,266,8.09203,113,7.29407,124,6.55918,62,5.28649,62,4.74935,62,4.56255
XLac,5.44499,255,9.35291,402,8.42288,289,7.85325,86,7.32255,47,6.52366,47,6.13667,46,6.02004
XSct,4.19807,43,11.25984,93,10.05770,39,9.32381,20,8.61820,19,7.39320,19,6.94209,19,6.80778
XVUL,6.31959,151,10.34871,243,8.87180,175,8.00937,55,7.19809,27,5.91773,27,5.41271,26,5.22883
XYCas,4.50169,57,11.14280,101,9.98788,36,9.31576,15,8.75257,19,7.74830,19,7.32543,19,7.19433
YAur,3.85948,23,10.65075,43,9.69033,6,8.97617,8,8.58588,29,7.66592,29,7.27489,27,7.15052
YLac,4.32377,107,9.93850,180,9.17830,98,8.71610,71,8.27743,49,7.63994,49,7.30220,46,7.21778
YSct,10.34130,113,11.26821,188,9.66367,139,8.70840,95,7.82340,22,6.45338,22,5.88426,20,5.66768
YZAur,18.19290,75,11.78409,115,10.37752,74,9.52949,0,nan,24,7.48992,24,6.89374,24,6.71181
YZSgr,9.55369,220,8.43017,448,7.37180,252,6.77878,211,6.22137,50,5.38926,50,4.98875,49,4.88342
ZLac,10.88564,231,9.62767,369,8.45543,266,7.78979,72,7.17763,47,6.25225,47,5.80868,47,5.67892
ZSct,12.90164,123,11.04186,204,9.63309,151,8.83219,106,8.11510,19,6.95942,19,6.47295,19,6.30450
